id,sku,name,currentCategory,suggestedCategory,confidence,stockCN1,changed
6d6ea70f-a1b8-4ed9-81c9-f07f6350cc8b,PT-1764402283924,Ắc nồi trước K2C,Hàng Công Ty,Truyền động - Nồi - Dây curoa,high,2,yes
bdd7d9ed-4754-43ca-962a-f06c722467f2,PT-1764402200312,Ắc nồi trước K44,Hàng Công Ty,Truyền động - Nồi - Dây curoa,high,1,yes
dc9a59d4-a106-4ade-9f14-a4b32cd93108,PT-1764402262613,Ắc nồi trước KWN,Hàng Công Ty,Truyền động - Nồi - Dây curoa,high,5,yes
c1a78e5a-7a4b-4bdf-a290-834a78908569,PT-1764399765449,Ắc quy GT5A MF (12V-5Ah),Ắc quy GS,Điện - Đèn - Còi,high,8,yes
8d4eccaa-f1c5-4a1d-87f8-36b61496cb6a,PT-1764399818130,Ắc quy GTZ5S-E (12V-3.5Ah),Ắc quy GS,Điện - Đèn - Còi,high,12,yes
43562a74-8b49-4402-8d4b-7fd92ffb6950,PT-1764399682029,Ắc quy GTZ6V (12V-5Ah),Ắc quy GS,Điện - Đèn - Còi,high,9,yes
7d56a617-dd33-4547-a008-d28a36a77c81,PT-1764473784506,Ắc quy xe điện 12v15Ah - TNE,Phụ tùng xe điện,Điện - Đèn - Còi,high,0,yes
0d7917e6-de66-4578-9002-12cf75c41c27,PT-1765952132265,Aptomat/CB X-TIGER (cầu dao),Phụ tùng xe điện,Điện - Đèn - Còi,high,2,yes
259e5769-f945-41e7-8e64-ce4de6e3d9bb,PT-1764422432202,Bạc gắp,Hàng Công Ty,Khung sườn - Phuộc - Chân chống,medium,2,yes
454bb062-86e4-4622-a77f-4f22c5f620e4,14502-086-000,Bánh căng xích cam,Honda,Truyền động - Nồi - Dây curoa,high,4,yes
a3001a30-42eb-4465-9320-571d9551d8d4,14610-086-010,Bánh dẫn xích cam,Honda,Truyền động - Nồi - Dây curoa,high,14,yes
9154a610-80bd-408f-a1e7-677e392951f3,14670-KYZ-900,Bánh dẫn xích cam,Honda,Truyền động - Nồi - Dây curoa,high,3,yes
